date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:01:04	20943/20943	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Nov%202017%2018:59:17%20GMT	https://colorlib.com/etc/dup/index.html	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/index.html	(from )
01:01:04	73/73	---MCZ	200	added ('OK')	text/plain	etag:W/%22526e4e2b-5e%22	https://colorlib.com/robots.txt		(from )
01:01:05	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Oct%202018%2019:31:03%20GMT	https://colorlib.com/etc/dup/img/fav.png	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/fav.png	(from https://colorlib.com/etc/dup/index.html)
01:01:06	8362/8362	---MCZ	200	added ('OK')	text/css	etag:W/%225a186c09-20aa%22	https://colorlib.com/etc/dup/css/linearicons.css	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/css/linearicons.css	(from https://colorlib.com/etc/dup/index.html)
01:01:08	4285/4285	---MCZ	200	added ('OK')	text/css	etag:W/%225a186c0b-10bd%22	https://colorlib.com/etc/dup/css/owl.carousel.css	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/css/owl.carousel.css	(from https://colorlib.com/etc/dup/index.html)
01:01:09	31004/31004	---MCZ	200	added ('OK')	text/css	etag:W/%225a186c0a-791c%22	https://colorlib.com/etc/dup/css/font-awesome.min.css	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/css/font-awesome.min.css	(from https://colorlib.com/etc/dup/index.html)
01:01:10	4007/4007	---MCZ	200	added ('OK')	text/css	etag:W/%225a186c0a-fa7%22	https://colorlib.com/etc/dup/css/nice-select.css	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/css/nice-select.css	(from https://colorlib.com/etc/dup/index.html)
01:01:10	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%225a186c08-1b27%22	https://colorlib.com/etc/dup/css/magnific-popup.css	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/css/magnific-popup.css	(from https://colorlib.com/etc/dup/index.html)
01:01:11	140597/140597	---MCZ	200	added ('OK')	text/css	etag:W/%225a186c09-22535%22	https://colorlib.com/etc/dup/css/bootstrap.css	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/css/bootstrap.css	(from https://colorlib.com/etc/dup/index.html)
01:01:11	39912/39912	---MCZ	200	added ('OK')	text/css	etag:W/%225a186c0a-9be8%22	https://colorlib.com/etc/dup/css/main.css	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/css/main.css	(from https://colorlib.com/etc/dup/index.html)
01:01:12	2270/2270	---M--	200	added ('OK')	image/png	etag:%225a186c1d-8de%22	https://colorlib.com/etc/dup/img/logo.png	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/logo.png	(from https://colorlib.com/etc/dup/index.html)
01:01:12	16140/16140	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Nov%202017%2018:59:18%20GMT	https://colorlib.com/etc/dup/generic.html	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/generic.html	(from https://colorlib.com/etc/dup/index.html)
01:01:13	33312/33312	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Nov%202017%2018:59:18%20GMT	https://colorlib.com/etc/dup/elements.html	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/elements.html	(from https://colorlib.com/etc/dup/index.html)
